"trial","subID","cond","dim","resp","corr","acc","rt"
1,100307,"relational","texture",0,0,1,2548
2,100307,"relational","texture",1,1,1,2528
3,100307,"relational","shape",0,1,0,1690
4,100307,"relational","texture",0,0,1,2438
5,100307,"control","shape",1,1,1,1836
6,100307,"control","texture",1,1,1,2372
7,100307,"control","shape",0,0,1,2672
8,100307,"control","texture",0,0,1,1724
9,100307,"control","texture",1,1,1,1361
10,100307,"relational","shape",0,0,1,1620
11,100307,"relational","texture",0,0,1,1749
12,100307,"relational","texture",1,1,1,2294
13,100307,"relational","shape",0,0,1,2610
14,100307,"control","shape",0,1,0,1059
15,100307,"control","shape",0,0,1,1644
16,100307,"control","texture",0,0,1,1543
17,100307,"control","texture",1,1,1,1568
18,100307,"control","texture",1,1,1,1634
19,100307,"control","shape",0,0,1,1742
20,100307,"control","texture",0,0,1,1406
21,100307,"control","shape",1,1,1,1189
22,100307,"control","shape",0,0,1,1275
23,100307,"control","texture",1,1,1,1447
24,100307,"relational","texture",0,0,1,2406
25,100307,"relational","texture",1,1,1,2164
26,100307,"relational","shape",1,1,1,2324
27,100307,"relational","texture",0,0,1,1753
1,102816,"relational","texture",1,0,0,702
2,102816,"relational","texture",1,1,1,830
3,102816,"relational","shape",0,1,0,732
4,102816,"relational","texture",1,0,0,716
5,102816,"control","shape",1,1,1,1072
6,102816,"control","texture",1,1,1,1204
7,102816,"control","shape",0,0,1,1101
8,102816,"control","texture",0,0,1,1381
9,102816,"control","texture",1,1,1,1290
10,102816,"relational","shape",0,0,1,1014
11,102816,"relational","texture",0,0,1,775
12,102816,"relational","texture",0,1,0,945
13,102816,"relational","shape",0,0,1,709
14,102816,"control","shape",1,1,1,846
15,102816,"control","shape",0,0,1,1141
16,102816,"control","texture",0,0,1,1686
17,102816,"control","texture",1,1,1,1106
18,102816,"control","texture",1,1,1,1624
19,102816,"control","shape",0,0,1,1368
20,102816,"control","texture",0,0,1,1116
21,102816,"control","shape",1,1,1,907
22,102816,"control","shape",0,0,1,936
23,102816,"control","texture",1,1,1,1737
24,102816,"relational","texture",0,0,1,1161
25,102816,"relational","texture",0,1,0,798
26,102816,"relational","shape",0,1,0,701
27,102816,"relational","texture",0,0,1,738
1,104012,"relational","texture",1,0,0,1646
2,104012,"relational","texture",0,1,0,1327
3,104012,"relational","shape",1,1,1,1363
4,104012,"relational","texture",0,0,1,1623
5,104012,"control","shape",0,1,0,1339
6,104012,"control","texture",0,1,0,1250
7,104012,"control","shape",0,0,1,1451
8,104012,"control","texture",0,0,1,1340
9,104012,"control","texture",1,1,1,1241
10,104012,"relational","shape",0,0,1,2340
11,104012,"relational","texture",0,0,1,2188
12,104012,"relational","texture",0,1,0,1529
13,104012,"relational","shape",0,0,1,1238
14,104012,"control","shape",0,1,0,1280
15,104012,"control","shape",1,0,0,1399
16,104012,"control","texture",0,0,1,1646
17,104012,"control","texture",1,1,1,1920
18,104012,"control","texture",1,1,1,1272
19,104012,"control","shape",1,0,0,1784
20,104012,"control","texture",0,0,1,1045
21,104012,"control","shape",1,1,1,1361
22,104012,"control","shape",0,0,1,1111
23,104012,"control","texture",0,1,0,976
24,104012,"relational","texture",0,0,1,1527
25,104012,"relational","texture",0,1,0,1651
26,104012,"relational","shape",0,1,0,1392
27,104012,"relational","texture",0,0,1,2000
1,106521,"relational","texture",0,0,1,2118
2,106521,"relational","texture",1,1,1,1972
3,106521,"relational","shape",1,1,1,1775
4,106521,"relational","texture",0,0,1,1822
5,106521,"control","shape",0,1,0,1590
6,106521,"control","texture",1,1,1,1632
7,106521,"control","shape",0,0,1,1856
8,106521,"control","texture",1,0,0,2190
9,106521,"control","texture",0,1,0,1621
10,106521,"relational","shape",0,0,1,3350
11,106521,"relational","texture",0,0,1,3094
12,106521,"relational","texture",1,1,1,2062
13,106521,"relational","shape",0,0,1,1912
14,106521,"control","shape",0,1,0,2093
15,106521,"control","shape",0,0,1,1972
16,106521,"control","texture",1,0,0,2336
17,106521,"control","texture",1,1,1,1550
18,106521,"control","texture",0,1,0,1988
19,106521,"control","shape",0,0,1,1176
20,106521,"control","texture",0,0,1,1451
21,106521,"control","shape",1,1,1,1102
22,106521,"control","shape",0,0,1,1233
23,106521,"control","texture",1,1,1,1798
24,106521,"relational","texture",0,0,1,2403
25,106521,"relational","texture",1,1,1,1579
26,106521,"relational","shape",1,1,1,1926
27,106521,"relational","texture",0,0,1,2968
1,108323,"relational","texture",0,0,1,2599
2,108323,"relational","texture",0,1,0,3284
3,108323,"relational","shape",0,1,0,3427
4,108323,"relational","texture",0,0,1,3155
5,108323,"control","shape",1,1,1,1757
6,108323,"control","texture",1,1,1,1377
7,108323,"control","shape",0,0,1,1815
8,108323,"control","texture",0,0,1,1831
9,108323,"control","texture",1,1,1,1918
10,108323,"relational","shape",1,0,0,2580
11,108323,"relational","texture",0,0,1,2435
12,108323,"relational","texture",1,1,1,2274
13,108323,"relational","shape",1,0,0,2074
14,108323,"control","shape",1,1,1,2160
15,108323,"control","shape",0,0,1,1383
16,108323,"control","texture",0,0,1,2168
17,108323,"control","texture",1,1,1,1267
18,108323,"control","texture",1,1,1,1402
19,108323,"control","shape",0,0,1,1519
20,108323,"control","texture",0,0,1,1341
21,108323,"control","shape",1,1,1,1109
22,108323,"control","shape",0,0,1,1041
23,108323,"control","texture",1,1,1,1364
24,108323,"relational","texture",0,0,1,2405
25,108323,"relational","texture",0,1,0,2635
26,108323,"relational","shape",0,1,0,3446
27,108323,"relational","texture",0,0,1,3054
1,109123,"relational","texture",0,0,1,2012
2,109123,"relational","texture",1,1,1,1621
3,109123,"relational","shape",1,1,1,1618
4,109123,"relational","texture",0,0,1,1835
5,109123,"control","shape",1,1,1,1003
6,109123,"control","texture",1,1,1,1463
7,109123,"control","shape",1,0,0,2596
8,109123,"control","texture",0,0,1,1943
9,109123,"control","texture",1,1,1,1383
10,109123,"relational","shape",0,0,1,2322
11,109123,"relational","texture",0,0,1,2436
12,109123,"relational","texture",1,1,1,2381
13,109123,"relational","shape",0,0,1,2272
14,109123,"control","shape",1,1,1,1074
15,109123,"control","shape",0,0,1,1609
16,109123,"control","texture",0,0,1,1446
17,109123,"control","texture",1,1,1,1799
18,109123,"control","texture",1,1,1,1511
19,109123,"control","shape",0,0,1,1396
20,109123,"control","texture",0,0,1,1432
21,109123,"control","shape",1,1,1,1151
22,109123,"control","shape",0,0,1,971
23,109123,"control","texture",1,1,1,1231
24,109123,"relational","texture",0,0,1,1982
25,109123,"relational","texture",1,1,1,2091
26,109123,"relational","shape",1,1,1,1867
27,109123,"relational","texture",0,0,0,0
1,111514,"relational","texture",0,0,1,1578
2,111514,"relational","texture",1,1,1,1571
3,111514,"relational","shape",1,1,1,2727
4,111514,"relational","texture",0,0,1,1487
5,111514,"control","shape",1,1,1,1464
6,111514,"control","texture",0,1,0,1428
7,111514,"control","shape",0,0,1,1388
8,111514,"control","texture",1,0,0,2542
9,111514,"control","texture",1,1,1,1207
10,111514,"relational","shape",1,0,0,2072
11,111514,"relational","texture",0,0,1,2120
12,111514,"relational","texture",1,1,1,2434
13,111514,"relational","shape",0,0,1,2736
14,111514,"control","shape",1,1,1,1877
15,111514,"control","shape",0,0,1,1306
16,111514,"control","texture",0,0,1,1987
17,111514,"control","texture",1,1,1,1553
18,111514,"control","texture",1,1,1,1562
19,111514,"control","shape",0,0,1,1506
20,111514,"control","texture",0,0,1,1565
21,111514,"control","shape",1,1,1,1156
22,111514,"control","shape",0,0,1,1363
23,111514,"control","texture",1,1,1,1602
24,111514,"relational","texture",0,0,1,1687
25,111514,"relational","texture",1,1,1,2196
26,111514,"relational","shape",1,1,1,1948
27,111514,"relational","texture",0,0,1,3164
1,112920,"relational","texture",1,0,0,1913
2,112920,"relational","texture",1,1,1,2480
3,112920,"relational","shape",1,1,1,1803
4,112920,"relational","texture",0,0,1,1733
5,112920,"control","shape",0,1,0,925
6,112920,"control","texture",0,1,0,1320
7,112920,"control","shape",0,0,1,1501
8,112920,"control","texture",1,0,0,1237
9,112920,"control","texture",1,1,1,1278
10,112920,"relational","shape",0,0,1,2599
11,112920,"relational","texture",1,0,0,2554
12,112920,"relational","texture",0,1,0,2099
13,112920,"relational","shape",0,0,1,1968
14,112920,"control","shape",1,1,1,1352
15,112920,"control","shape",0,0,1,1315
16,112920,"control","texture",0,0,1,1926
17,112920,"control","texture",0,1,0,2140
18,112920,"control","texture",1,1,1,1585
19,112920,"control","shape",0,0,1,1375
20,112920,"control","texture",0,0,1,1078
21,112920,"control","shape",1,1,1,890
22,112920,"control","shape",0,0,1,1060
23,112920,"control","texture",1,1,1,1862
24,112920,"relational","texture",0,0,1,2144
25,112920,"relational","texture",1,1,1,1446
26,112920,"relational","shape",0,1,0,1782
27,112920,"relational","texture",0,0,1,2948
1,113922,"relational","texture",0,0,1,2773
2,113922,"relational","texture",1,1,1,2173
3,113922,"relational","shape",1,1,1,1624
4,113922,"relational","texture",0,0,1,1959
5,113922,"control","shape",1,1,1,1194
6,113922,"control","texture",1,1,1,1244
7,113922,"control","shape",0,0,1,1444
8,113922,"control","texture",0,0,1,1688
9,113922,"control","texture",1,1,1,1475
10,113922,"relational","shape",0,0,1,2430
11,113922,"relational","texture",0,0,1,2617
12,113922,"relational","texture",1,1,1,2301
13,113922,"relational","shape",0,0,1,2396
14,113922,"control","shape",1,1,1,1390
15,113922,"control","shape",0,0,1,1542
16,113922,"control","texture",0,0,1,1788
17,113922,"control","texture",1,1,1,1644
18,113922,"control","texture",1,1,1,1315
19,113922,"control","shape",0,0,0,0
20,113922,"control","texture",0,0,1,2112
21,113922,"control","shape",1,1,1,1579
22,113922,"control","shape",0,0,1,1938
23,113922,"control","texture",1,1,1,1617
24,113922,"relational","texture",1,0,0,2160
25,113922,"relational","texture",0,1,0,2993
26,113922,"relational","shape",1,1,1,2797
27,113922,"relational","texture",0,0,1,2940
1,116726,"relational","texture",0,0,1,2228
2,116726,"relational","texture",1,1,1,1925
3,116726,"relational","shape",1,1,1,2117
4,116726,"relational","texture",0,0,1,1562
5,116726,"control","shape",1,1,1,1043
6,116726,"control","texture",1,1,1,1567
7,116726,"control","shape",0,0,1,1202
8,116726,"control","texture",0,0,1,1846
9,116726,"control","texture",1,1,1,1178
10,116726,"relational","shape",0,0,1,1812
11,116726,"relational","texture",0,0,1,1852
12,116726,"relational","texture",0,1,0,1788
13,116726,"relational","shape",1,0,0,2149
14,116726,"control","shape",0,1,0,0
15,116726,"control","shape",0,0,1,1660
16,116726,"control","texture",0,0,1,1711
17,116726,"control","texture",1,1,1,1740
18,116726,"control","texture",0,1,0,1460
19,116726,"control","shape",0,0,1,1228
20,116726,"control","texture",0,0,1,1257
21,116726,"control","shape",1,1,1,1116
22,116726,"control","shape",1,0,0,1265
23,116726,"control","texture",1,1,1,1399
24,116726,"relational","texture",1,0,0,1789
25,116726,"relational","texture",0,1,0,1666
26,116726,"relational","shape",0,1,0,1879
27,116726,"relational","texture",1,0,0,1851
1,125525,"relational","texture",0,0,1,1315
2,125525,"relational","texture",1,1,1,1468
3,125525,"relational","shape",0,1,0,1250
4,125525,"relational","texture",1,0,0,1187
5,125525,"control","shape",1,1,1,1692
6,125525,"control","texture",0,1,0,1310
7,125525,"control","shape",0,0,1,1332
8,125525,"control","texture",1,0,0,1417
9,125525,"control","texture",1,1,1,1250
10,125525,"relational","shape",0,0,1,1859
11,125525,"relational","texture",0,0,1,1188
12,125525,"relational","texture",0,1,0,1329
13,125525,"relational","shape",0,0,1,1292
14,125525,"control","shape",0,1,0,1890
15,125525,"control","shape",0,0,1,1278
16,125525,"control","texture",1,0,0,1181
17,125525,"control","texture",0,1,0,2363
18,125525,"control","texture",0,1,0,0
19,125525,"control","shape",0,0,1,1862
20,125525,"control","texture",0,0,1,1676
21,125525,"control","shape",1,1,1,1468
22,125525,"control","shape",0,0,1,1273
23,125525,"control","texture",1,1,1,2353
24,125525,"relational","texture",0,0,1,2496
25,125525,"relational","texture",0,1,0,1482
26,125525,"relational","shape",0,1,0,1550
27,125525,"relational","texture",0,0,1,1459
1,133019,"relational","texture",0,0,1,2082
2,133019,"relational","texture",1,1,1,2123
3,133019,"relational","shape",1,1,1,2207
4,133019,"relational","texture",0,0,1,1944
5,133019,"control","shape",1,1,1,1690
6,133019,"control","texture",1,1,1,1675
7,133019,"control","shape",0,0,1,1284
8,133019,"control","texture",0,0,1,1705
9,133019,"control","texture",1,1,1,1402
10,133019,"relational","shape",0,0,1,1987
11,133019,"relational","texture",0,0,1,1731
12,133019,"relational","texture",1,1,1,1814
13,133019,"relational","shape",0,0,1,3266
14,133019,"control","shape",1,1,1,2222
15,133019,"control","shape",0,0,1,1467
16,133019,"control","texture",0,0,1,1712
17,133019,"control","texture",1,1,1,2082
18,133019,"control","texture",1,1,1,1592
19,133019,"control","shape",0,0,1,2207
20,133019,"control","texture",0,0,1,1653
21,133019,"control","shape",1,1,1,1431
22,133019,"control","shape",0,0,1,1225
23,133019,"control","texture",1,1,1,1602
24,133019,"relational","texture",0,0,1,1650
25,133019,"relational","texture",1,1,1,1695
26,133019,"relational","shape",0,1,0,2209
27,133019,"relational","texture",0,0,0,0
1,140117,"relational","texture",0,0,1,2232
2,140117,"relational","texture",1,1,1,2216
3,140117,"relational","shape",1,1,1,2234
4,140117,"relational","texture",0,0,1,2496
5,140117,"control","shape",1,1,1,1304
6,140117,"control","texture",1,1,1,1464
7,140117,"control","shape",0,0,1,1346
8,140117,"control","texture",0,0,1,1194
9,140117,"control","texture",1,1,1,1196
10,140117,"relational","shape",0,0,1,1926
11,140117,"relational","texture",0,0,1,2316
12,140117,"relational","texture",1,1,1,2233
13,140117,"relational","shape",0,0,1,2419
14,140117,"control","shape",1,1,1,1729
15,140117,"control","shape",0,0,1,959
16,140117,"control","texture",0,0,1,1441
17,140117,"control","texture",1,1,1,1716
18,140117,"control","texture",1,1,1,1667
19,140117,"control","shape",0,0,1,1261
20,140117,"control","texture",0,0,1,1387
21,140117,"control","shape",1,1,1,973
22,140117,"control","shape",0,0,1,1412
23,140117,"control","texture",1,1,1,1296
24,140117,"relational","texture",0,0,1,1723
25,140117,"relational","texture",1,1,1,1972
26,140117,"relational","shape",0,1,0,1533
27,140117,"relational","texture",0,0,1,1790
1,146129,"relational","texture",0,0,1,1743
2,146129,"relational","texture",1,1,1,1834
3,146129,"relational","shape",1,1,1,1765
4,146129,"relational","texture",0,0,1,1660
5,146129,"control","shape",1,1,1,1409
6,146129,"control","texture",1,1,1,1851
7,146129,"control","shape",0,0,1,1113
8,146129,"control","texture",0,0,1,1409
9,146129,"control","texture",1,1,1,1325
10,146129,"relational","shape",0,0,1,1879
11,146129,"relational","texture",0,0,1,1882
12,146129,"relational","texture",1,1,1,2001
13,146129,"relational","shape",0,0,1,1406
14,146129,"control","shape",1,1,1,1611
15,146129,"control","shape",1,0,0,2119
16,146129,"control","texture",0,0,1,1849
17,146129,"control","texture",1,1,1,1925
18,146129,"control","texture",1,1,1,1679
19,146129,"control","shape",0,0,1,2117
20,146129,"control","texture",0,0,1,1688
21,146129,"control","shape",1,1,1,1207
22,146129,"control","shape",0,0,1,1193
23,146129,"control","texture",1,1,1,1964
24,146129,"relational","texture",0,0,1,2062
25,146129,"relational","texture",1,1,1,1954
26,146129,"relational","shape",1,1,1,1815
27,146129,"relational","texture",0,0,1,2284
1,149741,"relational","texture",1,0,0,1796
2,149741,"relational","texture",1,1,1,1508
3,149741,"relational","shape",0,1,0,1098
4,149741,"relational","texture",1,0,0,1560
5,149741,"control","shape",1,1,1,1168
6,149741,"control","texture",1,1,1,1747
7,149741,"control","shape",0,0,1,1328
8,149741,"control","texture",0,0,1,1263
9,149741,"control","texture",1,1,1,1132
10,149741,"relational","shape",0,0,1,1773
11,149741,"relational","texture",0,0,1,1871
12,149741,"relational","texture",0,1,0,1794
13,149741,"relational","shape",1,0,0,1927
14,149741,"control","shape",1,1,1,2094
15,149741,"control","shape",0,0,1,999
16,149741,"control","texture",0,0,1,1224
17,149741,"control","texture",0,1,0,1140
18,149741,"control","texture",1,1,1,2234
19,149741,"control","shape",0,0,1,1506
20,149741,"control","texture",0,0,1,1183
21,149741,"control","shape",1,1,1,1549
22,149741,"control","shape",0,0,1,1347
23,149741,"control","texture",1,1,1,2203
24,149741,"relational","texture",1,0,0,2478
25,149741,"relational","texture",0,1,0,1920
26,149741,"relational","shape",1,1,1,2107
27,149741,"relational","texture",0,0,1,1703
1,151526,"relational","texture",1,0,0,1721
2,151526,"relational","texture",1,1,1,2051
3,151526,"relational","shape",1,1,1,1651
4,151526,"relational","texture",1,0,0,2300
5,151526,"control","shape",0,1,0,1407
6,151526,"control","texture",1,1,1,1964
7,151526,"control","shape",0,0,1,1404
8,151526,"control","texture",0,0,1,2561
9,151526,"control","texture",1,1,1,1597
10,151526,"relational","shape",0,0,1,2594
11,151526,"relational","texture",0,0,1,2616
12,151526,"relational","texture",1,1,1,3144
13,151526,"relational","shape",0,0,1,2026
14,151526,"control","shape",1,1,1,2337
15,151526,"control","shape",0,0,1,1570
16,151526,"control","texture",0,0,1,1967
17,151526,"control","texture",1,1,1,2471
18,151526,"control","texture",1,1,1,1862
19,151526,"control","shape",0,0,1,1670
20,151526,"control","texture",0,0,1,2242
21,151526,"control","shape",1,1,1,1374
22,151526,"control","shape",0,0,1,1260
23,151526,"control","texture",1,1,1,1882
24,151526,"relational","texture",0,0,1,2793
25,151526,"relational","texture",1,1,1,2352
26,151526,"relational","shape",1,1,1,2302
27,151526,"relational","texture",0,0,1,3129
1,154532,"relational","texture",0,0,1,2531
2,154532,"relational","texture",1,1,1,2748
3,154532,"relational","shape",1,1,1,2690
4,154532,"relational","texture",0,0,1,2017
5,154532,"control","shape",1,1,1,1440
6,154532,"control","texture",1,1,1,1393
7,154532,"control","shape",0,0,1,1315
8,154532,"control","texture",0,0,1,1846
9,154532,"control","texture",1,1,1,1417
10,154532,"relational","shape",0,0,1,2575
11,154532,"relational","texture",0,0,1,2320
12,154532,"relational","texture",1,1,1,2951
13,154532,"relational","shape",0,0,1,2856
14,154532,"control","shape",1,1,1,1741
15,154532,"control","shape",0,0,1,1618
16,154532,"control","texture",0,0,1,1506
17,154532,"control","texture",1,1,1,1856
18,154532,"control","texture",1,1,1,1802
19,154532,"control","shape",0,0,1,2408
20,154532,"control","texture",0,0,1,1746
21,154532,"control","shape",1,1,1,1500
22,154532,"control","shape",0,0,1,1131
23,154532,"control","texture",1,1,1,1832
24,154532,"relational","texture",0,0,1,2651
25,154532,"relational","texture",0,1,0,3025
26,154532,"relational","shape",1,1,1,2515
27,154532,"relational","texture",0,0,1,2781
1,156334,"relational","texture",0,0,1,2474
2,156334,"relational","texture",0,1,0,1690
3,156334,"relational","shape",1,1,1,1691
4,156334,"relational","texture",0,0,1,2233
5,156334,"control","shape",1,1,1,1201
6,156334,"control","texture",1,1,1,1881
7,156334,"control","shape",0,0,1,1021
8,156334,"control","texture",0,0,1,1826
9,156334,"control","texture",1,1,1,1108
10,156334,"relational","shape",0,0,1,2206
11,156334,"relational","texture",0,0,1,1718
12,156334,"relational","texture",0,1,0,2365
13,156334,"relational","shape",1,0,0,3496
14,156334,"control","shape",0,1,0,0
15,156334,"control","shape",0,0,1,1172
16,156334,"control","texture",0,0,1,1265
17,156334,"control","texture",1,1,1,1897
18,156334,"control","texture",1,1,1,1392
19,156334,"control","shape",0,0,0,0
20,156334,"control","texture",0,0,1,1251
21,156334,"control","shape",1,1,1,849
22,156334,"control","shape",0,0,1,1005
23,156334,"control","texture",1,1,1,1180
24,156334,"relational","texture",0,0,1,2403
25,156334,"relational","texture",1,1,1,1807
26,156334,"relational","shape",1,1,1,1120
27,156334,"relational","texture",0,0,1,2830
1,158136,"relational","texture",0,0,1,1414
2,158136,"relational","texture",0,1,0,1222
3,158136,"relational","shape",1,1,1,1629
4,158136,"relational","texture",0,0,1,1605
5,158136,"control","shape",0,1,0,1575
6,158136,"control","texture",1,1,1,1882
7,158136,"control","shape",0,0,1,1596
8,158136,"control","texture",0,0,1,1620
9,158136,"control","texture",1,1,1,1181
10,158136,"relational","shape",1,0,0,3128
11,158136,"relational","texture",0,0,1,2794
12,158136,"relational","texture",0,1,0,2462
13,158136,"relational","shape",0,0,1,537
14,158136,"control","shape",1,1,1,1932
15,158136,"control","shape",0,0,1,1628
16,158136,"control","texture",0,0,1,1799
17,158136,"control","texture",1,1,1,1882
18,158136,"control","texture",0,1,0,1437
19,158136,"control","shape",0,0,1,972
20,158136,"control","texture",0,0,1,1667
21,158136,"control","shape",0,1,0,1235
22,158136,"control","shape",0,0,1,1529
23,158136,"control","texture",0,1,0,780
24,158136,"relational","texture",0,0,1,2905
25,158136,"relational","texture",0,1,0,2489
26,158136,"relational","shape",0,1,0,1796
27,158136,"relational","texture",0,0,1,2001
1,162026,"relational","texture",0,0,1,1509
2,162026,"relational","texture",1,1,1,1511
3,162026,"relational","shape",1,1,1,2021
4,162026,"relational","texture",0,0,1,1574
5,162026,"control","shape",0,1,0,1081
6,162026,"control","texture",1,1,1,1246
7,162026,"control","shape",0,0,1,1282
8,162026,"control","texture",0,0,1,1263
9,162026,"control","texture",1,1,1,871
10,162026,"relational","shape",0,0,1,1399
11,162026,"relational","texture",0,0,1,1714
12,162026,"relational","texture",1,1,1,1547
13,162026,"relational","shape",0,0,1,1694
14,162026,"control","shape",1,1,1,1200
15,162026,"control","shape",0,0,1,974
16,162026,"control","texture",0,0,1,1131
17,162026,"control","texture",1,1,1,1174
18,162026,"control","texture",1,1,1,1255
19,162026,"control","shape",0,0,1,1091
20,162026,"control","texture",0,0,1,999
21,162026,"control","shape",1,1,1,939
22,162026,"control","shape",0,0,1,979
23,162026,"control","texture",1,1,1,1273
24,162026,"relational","texture",0,0,1,1939
25,162026,"relational","texture",1,1,1,1867
26,162026,"relational","shape",1,1,1,1837
27,162026,"relational","texture",0,0,1,2117
1,164636,"relational","texture",1,0,0,2059
2,164636,"relational","texture",0,1,0,1884
3,164636,"relational","shape",0,1,0,1524
4,164636,"relational","texture",0,0,1,2271
5,164636,"control","shape",1,1,1,1827
6,164636,"control","texture",1,1,1,1576
7,164636,"control","shape",0,0,1,1819
8,164636,"control","texture",0,0,1,1467
9,164636,"control","texture",1,1,1,1556
10,164636,"relational","shape",0,0,1,1877
11,164636,"relational","texture",0,0,1,1789
